country,code,year,birthrate,deathrate,population,continent,difference
Afghanistan,AFG,2021,35.842,7.344,40099460,Asia,28.498
Albania,ALB,2021,10.24,11.325,2854710,Europe,-1.085
Algeria,DZA,2021,21.524,4.546,44177964,Africa,16.978
American Samoa,ASM,2021,17.175,6.787,45056,Oceania,10.388
Andorra,AND,2021,7.233,8.18,79057,Europe,-0.947
Angola,AGO,2021,38.809,8.009,34503776,Africa,30.8
Anguilla,AIA,2021,9.568,6.776,15779,North America,2.792
Antigua and Barbuda,ATG,2021,12.115,6.365,93229,North America,5.75
Argentina,ARG,2021,13.902,8.955,45276788,South America,4.947
Armenia,ARM,2021,12.049,13.007,2790971,Asia,-0.958
Aruba,ABW,2021,7.193,11.235,106543,North America,-4.042
Australia,AUS,2021,11.542,6.422,25921094,Oceania,5.12
Austria,AUT,2021,9.498,10.064,8922086,Europe,-0.566
Azerbaijan,AZE,2021,12.326,9.207,10312992,Asia,3.119
Bahamas,BHS,2021,11.445,8.986,407920,North America,2.459
Bahrain,BHR,2021,11.926,2.479,1463266,Asia,9.447
Bangladesh,BGD,2021,17.821,5.68,169356240,Asia,12.141
Barbados,BRB,2021,10.832,9.007,281204,North America,1.825
Belarus,BLR,2021,9.283,16.544,9578172,Europe,-7.261
Belgium,BEL,2021,10.051,9.519,11611416,Europe,0.532
Belize,BLZ,2021,17.976,6.353,400037,North America,11.623
Benin,BEN,2021,36.608,9.434,12996901,Africa,27.174
Bermuda,BMU,2021,7.755,10.767,64213,North America,-3.012
Bhutan,BTN,2021,12.482,6.477,777500,Asia,6.005
Bolivia,BOL,2021,21.836,9.945,12079474,South America,11.891
Bonaire Sint Eustatius and Saba,BES,2021,10.818,10.441,26730,North America,0.377
Bosnia and Herzegovina,BIH,2021,8.42,15.712,3270948,Europe,-7.292
Botswana,BWA,2021,23.576,9.461,2588424,Africa,14.115
Brazil,BRA,2021,12.883,8.326,214326220,South America,4.557
British Virgin Islands,VGB,2021,7.634,7.613,31145,North America,0.021
Brunei,BRN,2021,13.8,5.211,445382,Asia,8.589
Bulgaria,BGR,2021,8.435,22.337,6885864,Europe,-13.902
Burkina Faso,BFA,2021,35.541,8.958,22100690,Africa,26.583
Burundi,BDI,2021,34.842,7.474,12551215,Africa,27.368
Cambodia,KHM,2021,19.334,6.838,16589031,Asia,12.496
Cameroon,CMR,2021,34.938,8.582,27198632,Africa,26.356
Canada,CAN,2021,9.82,7.81,38155012,North America,2.01
